,region,topic,top_word
0,2,17,depression
1,2,17,depression
2,2,17,depression
3,2,17,depression
4,2,9,memory
5,3,12,carriers
6,3,12,carriers
7,3,5,sleep
8,3,5,sleep
9,3,5,sleep
10,3,5,sleep
11,3,5,sleep
12,4,11,pain
13,4,14,women
14,4,14,women
15,4,14,women
16,4,14,women
17,4,14,women
18,4,17,depression
19,4,19,time
20,4,7,social
21,4,7,social
22,4,7,social
23,4,7,social
24,4,7,social
25,4,7,social
26,4,7,social
27,4,7,social
28,5,11,pain
29,5,11,pain
30,5,11,pain
31,5,11,pain
32,5,11,pain
33,5,11,pain
34,5,11,pain
35,5,11,pain
36,5,11,pain
37,5,11,pain
38,5,17,depression
39,5,17,depression
40,5,17,depression
41,5,7,social
42,5,7,social
43,6,14,women
44,6,4,judgments
45,6,4,judgments
46,7,12,carriers
47,7,12,carriers
48,7,12,carriers
49,7,12,carriers
50,7,12,carriers
51,7,12,carriers
52,7,12,carriers
53,7,12,carriers
54,7,5,sleep
55,7,5,sleep
56,7,5,sleep
57,7,6,learning
58,7,6,learning
59,8,11,pain
60,8,12,carriers
61,8,6,learning
62,8,6,learning
63,8,6,learning
64,8,6,learning
65,8,6,learning
66,8,6,learning
67,8,6,learning
68,8,6,learning
69,8,6,learning
70,8,6,learning
71,8,6,learning
72,8,6,learning
73,8,6,learning
74,8,6,learning
75,8,6,learning
76,9,0,effective
77,9,0,effective
78,9,0,effective
79,9,0,effective
80,9,0,effective
81,9,15,spatial
82,9,16,schizophrenia
83,9,16,schizophrenia
84,9,17,depression
85,9,17,depression
86,9,17,depression
87,9,9,memory
88,9,9,memory
89,9,9,memory
90,9,9,memory
91,10,12,carriers
92,10,12,carriers
93,10,2,semantic
94,10,2,semantic
95,10,2,semantic
96,11,11,pain
97,11,11,pain
98,11,11,pain
99,11,12,carriers
100,11,12,carriers
101,11,12,carriers
102,11,12,carriers
103,11,12,carriers
104,11,14,women
105,11,14,women
106,11,14,women
107,11,14,women
108,11,14,women
109,11,14,women
110,11,16,schizophrenia
111,11,16,schizophrenia
112,11,2,semantic
113,11,2,semantic
114,11,2,semantic
115,11,7,social
116,11,7,social
117,11,7,social
118,11,7,social
119,11,7,social
120,11,7,social
121,13,14,women
122,13,14,women
123,13,14,women
124,13,14,women
125,13,14,women
126,13,19,time
127,13,4,judgments
128,13,4,judgments
129,13,4,judgments
130,13,5,sleep
131,13,5,sleep
132,13,5,sleep
133,13,5,sleep
134,13,5,sleep
135,13,5,sleep
136,13,5,sleep
137,13,5,sleep
138,13,7,social
139,13,7,social
140,13,7,social
141,13,7,social
142,13,7,social
143,13,7,social
144,14,11,pain
145,14,11,pain
146,14,11,pain
147,14,11,pain
148,14,11,pain
149,14,15,spatial
150,14,15,spatial
151,14,17,depression
152,14,17,depression
153,14,17,depression
154,14,4,judgments
155,14,4,judgments
156,14,4,judgments
157,14,4,judgments
158,14,4,judgments
159,14,4,judgments
160,14,4,judgments
161,14,4,judgments
162,14,7,social
163,15,14,women
164,15,15,spatial
165,15,15,spatial
166,15,4,judgments
167,15,4,judgments
168,15,4,judgments
169,15,4,judgments
170,15,4,judgments
171,15,4,judgments
172,15,4,judgments
173,15,4,judgments
174,15,4,judgments
175,15,4,judgments
176,15,4,judgments
177,15,4,judgments
178,15,4,judgments
179,15,5,sleep
180,15,5,sleep
181,15,5,sleep
182,15,5,sleep
183,15,5,sleep
184,16,12,carriers
185,16,12,carriers
186,16,5,sleep
187,16,5,sleep
188,16,5,sleep
189,16,5,sleep
190,16,5,sleep
191,16,5,sleep
192,16,5,sleep
193,16,5,sleep
194,16,5,sleep
195,16,5,sleep
196,16,5,sleep
197,16,5,sleep
198,16,5,sleep
199,16,5,sleep
200,16,5,sleep
201,16,5,sleep
202,17,1,visual
203,17,16,schizophrenia
204,17,2,semantic
205,17,2,semantic
206,17,2,semantic
207,17,2,semantic
208,17,2,semantic
209,17,2,semantic
210,17,2,semantic
211,17,2,semantic
212,17,2,semantic
213,17,2,semantic
214,17,2,semantic
215,17,2,semantic
216,17,2,semantic
217,17,2,semantic
218,17,2,semantic
219,18,12,carriers
220,18,14,women
221,18,14,women
222,18,17,depression
223,18,7,social
224,18,7,social
225,19,1,visual
226,19,15,spatial
227,19,15,spatial
228,19,15,spatial
229,19,15,spatial
230,19,15,spatial
231,19,15,spatial
232,19,15,spatial
233,19,15,spatial
234,19,15,spatial
235,19,15,spatial
236,19,15,spatial
237,19,15,spatial
238,19,15,spatial
239,19,15,spatial
240,19,15,spatial
241,19,15,spatial
242,19,15,spatial
243,19,15,spatial
244,19,17,depression
245,19,17,depression
246,19,17,depression
247,19,17,depression
248,19,17,depression
249,19,2,semantic
250,19,2,semantic
251,19,3,condition
252,20,11,pain
253,20,11,pain
254,20,11,pain
255,20,11,pain
256,20,11,pain
257,20,11,pain
258,20,11,pain
259,20,11,pain
260,20,11,pain
261,20,11,pain
262,20,14,women
263,20,14,women
264,20,14,women
265,20,14,women
266,20,14,women
267,20,16,schizophrenia
268,20,16,schizophrenia
269,20,17,depression
270,20,17,depression
271,20,17,depression
272,20,17,depression
273,20,5,sleep
274,20,5,sleep
275,20,5,sleep
276,20,7,social
277,20,7,social
278,20,7,social
279,20,7,social
280,20,7,social
281,20,7,social
282,20,7,social
283,20,7,social
284,20,7,social
285,20,7,social
286,20,7,social
287,20,7,social
