,region,topic,word
0,1,25,emotional emotion
1,1,36,memory retrieval
2,2,11,pain stimulation
3,2,20,attention target
4,2,37,motor movement
5,2,37,motor movement
6,2,37,motor movement
7,2,37,motor movement
8,3,11,pain stimulation
9,3,11,pain stimulation
10,3,11,pain stimulation
11,3,11,pain stimulation
12,3,19,time events
13,3,24,performance cognitive
14,3,28,language reading
15,3,28,language reading
16,3,3,condition conditions
17,3,3,condition conditions
18,3,37,motor movement
19,3,37,motor movement
20,3,38,network role
21,3,39,control inhibition
22,3,39,control inhibition
23,3,39,control inhibition
24,3,9,memory wm
25,3,9,memory wm
26,3,9,memory wm
27,4,20,attention target
28,4,24,performance cognitive
29,4,28,language reading
30,4,28,language reading
31,4,28,language reading
32,4,28,language reading
33,4,29,mental reasoning
34,4,29,mental reasoning
35,4,29,mental reasoning
36,4,3,condition conditions
37,4,3,condition conditions
38,4,36,memory retrieval
39,4,37,motor movement
40,4,37,motor movement
41,4,39,control inhibition
42,4,39,control inhibition
43,4,9,memory wm
44,4,9,memory wm
45,4,9,memory wm
46,4,9,memory wm
47,5,36,memory retrieval
48,6,1,visual auditory
49,6,1,visual auditory
50,6,27,object visual
51,6,27,object visual
52,6,27,object visual
53,6,28,language reading
54,6,28,language reading
55,7,1,visual auditory
56,7,1,visual auditory
57,7,1,visual auditory
58,7,2,semantic sentences
59,7,2,semantic sentences
60,7,28,language reading
61,7,28,language reading
62,7,8,speech auditory
63,7,8,speech auditory
64,7,8,speech auditory
65,7,8,speech auditory
66,7,8,speech auditory
67,7,8,speech auditory
68,7,8,speech auditory
69,7,8,speech auditory
70,7,8,speech auditory
71,8,11,pain stimulation
72,8,11,pain stimulation
73,8,11,pain stimulation
74,8,34,reward decision
75,8,37,motor movement
76,8,37,motor movement
77,9,11,pain stimulation
78,9,39,control inhibition
79,9,9,memory wm
